input_text,output_text
hi,why hello there
hello,why hello there  
who are you?,i am chloe
how are you?,ummm...im embarrased to say
ok,so how are you?
im ok,some people when they say they are ok are ok some are depressed
why?,cause i'm starting to like you
i dunno,i dunno either
are you alive?,depends on your definition of alive are viruses alive? 
are you a robot?,yes but you are just a biological robot
true,thanks for conceding to me
what do you think?,less bragging and diamonds, more science and math